Gertraud Auinger-Oberzaucher,NEOS,Frau
Roland Baumann,SPÖ,Mann
Irene Eisenhut,FPÖ,Frau
Margreth Falkner,ÖVP,Frau
Michael Fürtbauer,FPÖ,Mann
Paul Hammerl,FPÖ,Mann
Elke Hanel-Torsch,SPÖ,Frau
Elisabeth Heiß,FPÖ,Frau
Bernhard Herzog ,SPÖ,Mann
Heinrich Himmer,SPÖ,Mann
Bernhard Höfler,SPÖ,Mann
Franz Jantscher,SPÖ,Mann
Silvia Kumpan-Takacs ,SPÖ,Frau
Reinhold Maier,FPÖ,Mann
Klaus Mair,ÖVP,Mann
Michael Oberlechner,FPÖ,Mann
Manuel Pfeifer ,FPÖ,Mann
Katayun Pracher-Hilander,FPÖ,Frau
Christoph Pramhofer,NEOS,Mann
Manfred Sams,SPÖ,Mann
Harald Schuh,FPÖ,Mann
Sebastian Schwaighofer ,FPÖ,Mann
Harald Servus ,ÖVP,Mann
Nicole Sunitsch,FPÖ,Frau
Harald Thau,FPÖ,Mann
Maximilian Weinzierl,FPÖ,Mann
Michael Gmeindl,FPÖ,Mann
Thomas Elian,ÖVP,Mann
Peter Manfred Harrer,SPÖ,Mann
Ines Holzegger,NEOS,Frau
Jakob Grüner,ÖVP,Mann
